id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
36115701,Městská část Praha-Lipence,00241431,LOKKI International s.r.o.,26349531,497603.29,2025-12-17,2025,"Objednávka dodání nábytku do třídy Mecháčků v MŠ Praha 5, K samoobsluze 211",False
36111185,"Střední zdravotnická škola a Vyšší odborná škola zdravotnická, Kladno, Havířská 1141",00066729,PROFIMEDIA s.r.o.,41032098,1289356.0,2025-12-15,2025,Kupní smlouva - vybavení učebny IT,True
36110721,Město Vlašim,00232947,"Střední odborná škola a Střední odborné učiliště, Vlašim, Zámek 1",14798425,2207050.0,2025-12-16,2025,"Nájemní - pronájem budov a pozemků v k.ú. Vlašim - SOš a SOu Vlašim, Zámek 1",False
36102593,"Střední odborná škola Litovel, Komenského 677",00848875,Interiéry.Kuchyně.a nábytek s.r.o.,27854728,65545.45,2025-12-16,2025,Objednáváme u Vás nábytek do kanceláří a fotoateliéru.,True
36098513,"Mateřská škola Olomouc, Herrmannova 1, příspěvková organizace",75029561,INTERDEKOR HP s.r.o.,25367498,55134.0,2025-12-01,2025,Nábytek pro MŠ Baarova s platností do 31.12.2025,True
36096361,Městská část Praha-Lipence,00241431,KANONA a.s.,04163664,761190.0,2025-12-16,2025,"Kupní smlouva - Nábytek do personálních prostor v přístavbě MŠ K Samoobsluze, Praha-Lipence",False
36095305,Střední odborná škola a Střední odborné učiliště Jindřichův Hradec,60816899,B2B Partner s.r.o.,27830306,53568.0,2025-12-17,2025,"Objednávka nábytku do ředitelny, SOŠ, Jáchymova 478, Jindřichův Hradec",True
36093797,"Střední pedagogická škola Boskovice, příspěvková organizace",62073117,"STAVKOM, spol. s r. o.",41604041,77748988.05,2025-12-15,2025,Smlouva o dílo,True
36091993,"Střední škola informatiky, poštovnictví a finančnictví Brno, příspěvková organizace",00380385,"Díky, že můžem, z. s.",05146895,58929.0,2025-09-24,2025,"Smlouva za účelem zajištění akce pro objednatele, a to formou poskytnutí ubytování pro objednatele, a to ve dnech 10. - ",True
36082965,"Základní škola Rudolfa Koblice, Pionýrů 1102, Kadaň",46789987,ŠVEJK - Bublava s.r.o.,01381130,185640.0,2025-11-20,2025,smlouva o ubytování,True
36079381,Univerzita Karlova,00216208,ZENOVA services s.r.o.,25051865,65000.0,2025-10-30,2025,Generální úklid Větrník,False
36075961,"Základní škola Stará Boleslav, Brandýs nad Labem - Stará Boleslav, Jungmannova 164, okres Praha - východ",75033330,NÁBYTEK HONZA s.r.o.,27198821,124560.0,2025-12-10,2025,Objednávka - dvoumístný set NAT,True
36075469,"Střední průmyslová škola Ostrov, příspěvková organizace",70845425,ATUT-TUTY s.r.o.,02737787,257372.86,2025-12-16,2025,Smlouva o dílo - Čištění a ošetřování podlah v roce 2026,True
